sku_code,sku_name,category,brand,jst_sku_id,sale_price,cost_price
6937215366,CN (海外版爱你款),成品 - 成品,EMIE,6937215366,,33.48
6941602540614,趣玩维尼,成品 - 成品,EMIE,6941602540614,,
6941602540669,趣玩草莓熊,成品 - 成品,EMIE,6941602540669,,
6941602542755,背带米妮,成品 - 成品,EMIE,6941602542755,,
6941602578426,-草莓熊,成品 - 成品,EMIE,6941602578426,,
6941602589538,魔法棒儿童相机,成品 - 成品,EMIE,6941602589538,,
6941602591470,-草莓熊,成品 - 成品,EMIE,6941602591470,,
6941602591494,-史迪奇,成品 - 成品,EMIE,6941602591494,,100.87
6946692407663,,成品 - 成品,EMIE,6946692407663,,
6947731035211,-公仔,成品 - 成品,EMIE,6947731035211,,0.01
6955631312449_218584775779,小企鹅,成品 - 成品,EMIE,6955631312449_218584775779,,
6973829916798,,成品 - 成品,EMIE,6973829916798,,
EM20230920,,成品 - 成品,EMIE,EM20230920,,0.01
EM20240321,,成品 - 成品,EMIE,EM20240321,,0.01
EM20240528,,成品 - 成品,EMIE,EM20240528,,5.00
EM2024062501,,成品 - 成品,EMIE,EM2024062501,,
EM2024062502,,成品 - 成品,EMIE,EM2024062502,,
EMEI20220811002,,成品 - 成品,EMIE,EMEI20220811002,,0.01
EMIE20171201001,小恶魔防伪标,成品 - 成品,EMIE,EMIE20171201001,,
EMIE20180920001,,成品 - 成品,EMIE,EMIE20180920001,,
EMIE20180926002,,成品 - 成品,EMIE,EMIE20180926002,,
EMIE20191209008,,成品 - 成品,EMIE,EMIE20191209008,,
EMIE202100618001,,成品 - 成品,EMIE,EMIE202100618001,,
EMIE20211125001,,成品 - 成品,EMIE,EMIE20211125001,,
EMIE20211125002,,成品 - 成品,EMIE,EMIE20211125002,,1.65
EMIE20220712001,,成品 - 成品,EMIE,EMIE20220712001,,
EMIE2025101601,囍,成品 - 成品,EMIE,EMIE2025101601,,20.00
EMIE2025101602,,成品 - 成品,EMIE,EMIE2025101602,,20.00
EMIE211012btf,,成品 - 成品,EMIE,EMIE211012btf,,
