bom_for_sku,product_name,version,dangling_material,qty,cat_snapshot
6955631308671,成品-hellokitty,v1,1.05.03,1.0000,
6955631309340,Hello kitty,v1,2.LJ.308,1.0000,
6955631309340,Hello kitty,v1,3.BZ.12,1.0000,
6955631309340,Hello kitty,v1,3.QT.140,1.0000,
6955631310131,hellokitty,v1,1.05.31,1.0000,
6955631310551,抱抱熊-,v1,2.LJ.348,1.0000,
6955631310551,抱抱熊-,v1,3.JD.11,1.0000,
6955631311251,成人款-CN 0002,v1,2.LJ.506,1.0000,
6955631311251,成人款-CN 0002,v1,3.JD.114,1.0000,
6955631311282,-儿童款-CN 0003,v1,2.LJ.507,1.0000,
6955631311282,-儿童款-CN 0003,v1,3.JD.114,1.0000,
6955631311503,hello kitty-KT,v1,BP-LJ-073,1.0000,
6955631311503,hello kitty-KT,v1,YL-BZ-024,1.0000,
6955631311503,hello kitty-KT,v1,YL-GZ-025,1.0000,
6955631312098,KU-酷洛米,v1,BP-LJ-075,1.0000,
6955631312098,KU-酷洛米,v1,YL-BZ-023,1.0000,
6955631312098,KU-酷洛米,v1,YL-GZ-028,1.0000,
6955631312135,CN,v1,2.LJ.442,1.0000,
6955631312135,CN,v1,3.BZ.207,1.0000,
6955631312135,CN,v1,3.GS.13,1.0000,
6955631312135,CN,v1,3.JD.36,1.0000,
6955631312142,KT,v1,2.LJ.441,1.0000,
6955631312142,KT,v1,3.BZ.206,1.0000,
6955631312142,KT,v1,3.JD.116,1.0000,
6955631312142,KT,v1,3.QT.140,1.0000,
6955631312159,KU,v1,2.LJ.443,1.0000,
6955631312159,KU,v1,3.BZ.208,1.0000,
6955631312159,KU,v1,3.GS.19,1.0000,
6955631312159,KU,v1,3.JD.62,1.0000,
6955631312371,-坐姿KU,v1,2.LJ.536,1.0000,
6955631312371,-坐姿KU,v1,3.BZ.355,1.0000,
6955631312388,CN爱你(常规款)-大耳狗,v1,2.LJ.471,1.0000,
6955631312388,CN爱你(常规款)-大耳狗,v1,3.BZ.210,1.0000,
6955631312586,CN,v1,2.LJ.500,1.0000,
6955631312609,KU,v1,2.LJ.501,1.0000,
6955631313262,-成人款-KU,v1,2.LJ.475,1.0000,
6955631313262,-成人款-KU,v1,3.JD.88,1.0000,
6955631313279,-儿童款-KU,v1,2.LJ.476,1.0000,
6955631313279,-儿童款-KU,v1,3.JD.88,1.0000,
6955631313590,-KU,v1,2.LJ.493,1.0000,
6955631313590,-KU,v1,3.BZ.333,1.0000,
6955631313590,-KU,v1,3.JD.94,1.0000,
6955631313712,-紫色成人款,v1,1.10.238,1.0000,
6955631313729,-紫色儿童款,v1,1.10.237,1.0000,
6955631313989,-CN,v1,2.LJ.514,1.0000,
6955631313989,-CN,v1,3.BZ.344,1.0000,
6955631313996,-KU,v1,2.LJ.515,1.0000,
6955631313996,-KU,v1,3.BZ.345,1.0000,
6955631314009,-KU,v1,2.LJ.508,1.0000,
6955631314009,-KU,v1,3.GS.19,1.0000,
6955631314009,-KU,v1,3.JD.62,1.0000,
6955631314016,-CN,v1,2.LJ.522,1.0000,
6955631314016,-CN,v1,3.GS.13,1.0000,
6955631314016,-CN,v1,3.JD.36,1.0000,
6955631314221,-CN奶油款,v1,2.LJ.548,1.0000,
6955631314221,-CN奶油款,v1,3.BZ.356,1.0000,
6955631314238,-KU奶油款,v1,2.LJ.482,1.0000,
6955631314238,-KU奶油款,v1,3.BZ.327,1.0000,
6955631314252,-粉紫款KU,v1,BP-LJ-074,1.0000,
6955631314252,-粉紫款KU,v1,YL-BZ-025,1.0000,
6955631314252,-粉紫款KU,v1,YL-GZ-026,1.0000,
6955631314382,-KU,v1,2.LJ.537,1.0000,
6955631314382,-KU,v1,3.JD.149,1.0000,
6955631314382,-KU,v1,3.JD.152,1.0000,
6955631314528,-蛋糕崽,v1,2.LJ.535,1.0000,
6955631314528,-蛋糕崽,v1,3.BZ.357,1.0000,
6955631314528,-蛋糕崽,v1,3.JD.148,1.0000,
6955631314580,-大耳狗,v1,2.LJ.549,1.0000,
6955631314580,-大耳狗,v1,3.BZ.358,1.0000,
6955631314580,-大耳狗,v1,3.JD.150,1.0000,
6955631314597,-酷洛米,v1,2.LJ.550,1.0000,
6955631314597,-酷洛米,v1,3.BZ.359,1.0000,
6955631314597,-酷洛米,v1,3.JD.151,1.0000,
6955631314603,-酷洛米款,v1,1.10.246,1.0000,
6955631314610,-大耳狗款,v1,1.10.265,1.0000,
6955631314627,-KU双唛,v1,2.LJ.554,1.0000,
6955631314627,-KU双唛,v1,3.JD.149,2.0000,
6955631314627,-KU双唛,v1,3.JD.152,1.0000,
6955631314726,-KT,v1,2.LJ.557,1.0000,
6955631314726,-KT,v1,3.BZ.402,1.0000,
6955631314726,-KT,v1,3.JD.160,1.0000,
6955631314726,-KT,v1,3.JD.161,1.0000,
6955631314733,-KU,v1,2.LJ.552,1.0000,
6955631314733,-KU,v1,3.BZ.401,1.0000,
6955631314733,-KU,v1,3.JD.153,1.0000,
6955631314733,-KU,v1,3.JD.178,1.0000,
6955631314931,-CN,v1,2.LJ.422,1.0000,
6955631314931,-CN,v1,3.BZ.116,1.0000,
6955631314931,-CN,v1,3.JD.54,1.0000,
6955631314955,-KT,v1,2.LJ.564,1.0000,
6955631314955,-KT,v1,3.BZ.403,1.0000,
6955631314955,-KT,v1,3.JD.174,1.0000,
6955631315082,-双麦-KU,v1,2.LJ.578,1.0000,
6955631315082,-双麦-KU,v1,3.BZ.401,1.0000,
6955631315082,-双麦-KU,v1,3.JD.153,1.0000,
6955631315082,-双麦-KU,v1,3.JD.178,2.0000,
6955631315105,-HG,v1,2.LJ.574,1.0000,
6955631315105,-HG,v1,3.BZ.406,1.0000,
6955631315167,-KT,v1,2.LJ.575,1.0000,
6955631315198,-KU,v1,2.LJ.580,1.0000,
6955631315198,-KU,v1,3.BZ.73,1.0000,
6955631315198,-KU,v1,3.GS.19,1.0000,
6955631315198,-KU,v1,3.JD.121,1.0000,
6955631315334,-MM,v1,2.LJ.576,1.0000,
6955631315334,-MM,v1,3.BZ.407,1.0000,
6955631315396,-单麦,v1,2.LJ.587,1.0000,
6955631315396,-单麦,v1,3.GS.28,1.0000,
6955631315396,-单麦,v1,3.QT.209,1.0000,
6955631315396,-单麦,v1,3.QT.210,1.0000,
